train_cohort,test_cohort,feature_set,cell_type,status,reason,n,MAE,RMSE,R2,r,cBAG_age_r,cBAG_age_slope,cBAG_age_intercept,model_path,test_graph_path,bias_beta_from_train_oof,bias_alpha_from_train_oof,target_normalization_used,target_mean,target_std,train_node_dim,test_node_dim,train_global_dim,test_global_dim,train_edge_dim,test_edge_dim
ADRC,ADNI,imaging_demographics,external,ok,,316.0,4.780000920104387,6.126181645799415,0.1003071422411555,0.7361411208069393,0.0310995151397013,0.0294500690691756,-1.8999609364714989,$WORK/ines/results/BrainAgePredictionADRC_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_demographics/brainage_adrc_imaging_demographics_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADNI/graphs/imaging_demographics/graph_data_list_adni_all.pt,-0.8284839953355125,46.73758589563562,True,56.13793103448276,11.329924180076327,3.0,3.0,6.0,6.0,1.0,1.0
ADRC,ADRC,imaging_demographics,diagonal_oof,ok,,145.0,3.1057271896226237,3.957355151078618,0.8780010634741282,0.9440690874740398,4.996003610813204e-16,1.9096566459316956e-16,-1.2300762355431532e-14,,,,,,,,,,,,,
ADRC,HABS,imaging_demographics,external,ok,,486.0,4.088986020039782,5.22475509717024,0.6232263481443947,0.8806959792997764,0.1177883347557339,0.0681438499166506,-6.332778798496198,$WORK/ines/results/BrainAgePredictionADRC_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_demographics/brainage_adrc_imaging_demographics_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/HABS/graphs/imaging_demographics/graph_data_list_habs_all.pt,-0.8284839953355125,46.73758589563562,True,56.13793103448276,11.329924180076327,3.0,3.0,6.0,6.0,1.0,1.0
ADRC,AD_DECODE,imaging_demographics,external,ok,,86.0,14.012277171109208,14.875740501000305,0.1382018863614397,0.9503016724599928,-0.2661809089882609,-0.0829625131337827,18.34136507048083,$WORK/ines/results/BrainAgePredictionADRC_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_demographics/brainage_adrc_imaging_demographics_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/AD_DECODE/graphs/imaging_demographics/graph_data_list_ad_decode_all.pt,-0.8284839953355125,46.73758589563562,True,56.13793103448276,11.329924180076327,3.0,3.0,6.0,6.0,1.0,1.0
HABS,ADNI,imaging_demographics,external,ok,,316.0,9.377375435640326,12.36798510658513,-2.667012922481251,0.6064804368586298,0.130573746169772,0.2086943089521437,-9.139647012740214,$WORK/ines/results/BrainAgePredictionHABS_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_demographics/brainage_habs_imaging_demographics_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADNI/graphs/imaging_demographics/graph_data_list_adni_all.pt,-0.6616133819522768,43.6704284209661,True,67.085609135894,8.111934009922717,3.0,3.0,6.0,6.0,1.0,1.0
HABS,ADRC,imaging_demographics,external,ok,,204.0,10.6041838403895,12.411535929637031,-0.1031652242970828,0.8414891216458351,-0.0511181449719952,-0.0318175023068598,11.84135199804992,$WORK/ines/results/BrainAgePredictionHABS_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_demographics/brainage_habs_imaging_demographics_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADRC/graphs/imaging_demographics/graph_data_list_adrc_all.pt,-0.6616133819522768,43.6704284209661,True,67.085609135894,8.111934009922717,3.0,3.0,6.0,6.0,1.0,1.0
HABS,HABS,imaging_demographics,diagonal_oof,ok,,394.0,3.0124606148800863,3.6893570511546576,0.7931514136715159,0.9102770784726176,9.900934239137626e-16,4.442507590526235e-16,5.904644802250742e-15,,,,,,,,,,,,,
HABS,AD_DECODE,imaging_demographics,external,ok,,86.0,21.047967643019643,22.811855899682733,-1.0266072442512373,0.8667546206133924,-0.0911543559836076,-0.0500346167291208,23.658836644570314,$WORK/ines/results/BrainAgePredictionHABS_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_demographics/brainage_habs_imaging_demographics_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/AD_DECODE/graphs/imaging_demographics/graph_data_list_ad_decode_all.pt,-0.6616133819522768,43.6704284209661,True,67.085609135894,8.111934009922717,3.0,3.0,6.0,6.0,1.0,1.0
AD_DECODE,ADNI,imaging_demographics,external,ok,,316.0,29.716556383945893,31.71889874122535,-23.118524431638583,0.5228086941665019,0.0858869952385632,0.1635481532488008,-41.73854636966297,$WORK/ines/results/BrainAgePredictionADDECODE_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_demographics/brainage_addecode_imaging_demographics_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADNI/graphs/imaging_demographics/graph_data_list_adni_all.pt,-0.7229451081978331,36.34283155419283,True,50.265035049824775,15.12709831589304,3.0,3.0,6.0,6.0,1.0,1.0
AD_DECODE,ADRC,imaging_demographics,external,ok,,204.0,20.712488654660174,22.710018551202584,-2.6933841675272703,0.6643043047353032,-0.0167349534284384,-0.0184843735465111,-17.513221819636307,$WORK/ines/results/BrainAgePredictionADDECODE_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_demographics/brainage_addecode_imaging_demographics_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADRC/graphs/imaging_demographics/graph_data_list_adrc_all.pt,-0.7229451081978331,36.34283155419283,True,50.265035049824775,15.12709831589304,3.0,3.0,6.0,6.0,1.0,1.0
AD_DECODE,HABS,imaging_demographics,external,ok,,486.0,31.640698620956677,32.75388412430699,-13.807245072823294,0.6676070642552043,-0.0963752881889286,-0.0974567401562391,-25.04292889522012,$WORK/ines/results/BrainAgePredictionADDECODE_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_demographics/brainage_addecode_imaging_demographics_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/HABS/graphs/imaging_demographics/graph_data_list_habs_all.pt,-0.7229451081978331,36.34283155419283,True,50.265035049824775,15.12709831589304,3.0,3.0,6.0,6.0,1.0,1.0
AD_DECODE,AD_DECODE,imaging_demographics,diagonal_oof,ok,,79.0,4.867816345347395,6.427776688859655,0.819444675003915,0.920358076488634,6.661338147750939e-16,2.8221253347093034e-16,-2.2010387212217473e-14,,,,,,,,,,,,,
ADNI,ADNI,imaging_biomarkers,diagonal_oof,ok,,233.0,1.489553718910265,1.9820107412703192,0.9045312387385072,0.95543248028907,-2.1718737919229625e-15,-6.67741477431498e-16,3.773460746646703e-14,,,,,,,,,,,,,
ADNI,ADRC,imaging_biomarkers,external,ok,,204.0,3.7741782889157465,4.784032474755935,0.8361004567507362,0.9483381740490966,0.0083472938357276,0.0028004586805158,-2.8399298512022355,$WORK/ines/results/BrainAgePredictionADNI_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_biomarkers/brainage_adni_imaging_biomarkers_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADRC/graphs/imaging_biomarkers/graph_data_list_adrc_all.pt,-0.9097180129707148,69.02149078502136,True,76.1030042918455,6.414685370236268,3.0,3.0,13.0,13.0,1.0,1.0
ADNI,HABS,imaging_biomarkers,external,ok,,486.0,3.862350851384536,4.632704714111058,0.7037776065351862,0.9398915150048388,-0.0438813907814308,-0.0157073188577866,-2.432565945573958,$WORK/ines/results/BrainAgePredictionADNI_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_biomarkers/brainage_adni_imaging_biomarkers_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/HABS/graphs/imaging_biomarkers/graph_data_list_habs_all.pt,-0.9097180129707148,69.02149078502136,True,76.1030042918455,6.414685370236268,3.0,3.0,13.0,13.0,1.0,1.0
ADNI,AD_DECODE,imaging_biomarkers,external,incompatible_dimensions,Input dimensions do not match,,,,,,,,,$WORK/ines/results/BrainAgePredictionADNI_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_biomarkers/brainage_adni_imaging_biomarkers_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/AD_DECODE/graphs/imaging_biomarkers/graph_data_list_ad_decode_all.pt,,,,,,3.0,3.0,13.0,16.0,1.0,1.0
ADRC,ADNI,imaging_biomarkers,external,ok,,316.0,53.08652991786133,53.79268509512038,-68.36828843197762,0.4406997098490155,-0.2708444479611491,-0.3643123597701293,80.93336769598699,$WORK/ines/results/BrainAgePredictionADRC_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_biomarkers/brainage_adrc_imaging_biomarkers_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADNI/graphs/imaging_biomarkers/graph_data_list_adni_all.pt,-0.7039989555708303,39.5591413315542,True,56.13793103448276,11.329924180076327,3.0,3.0,13.0,13.0,1.0,1.0
ADRC,ADRC,imaging_biomarkers,diagonal_oof,ok,,145.0,4.035075788498519,5.123302372476512,0.7955222927598264,0.9111725271382682,1.0130785099704551e-15,4.519807039725027e-16,-8.197728575300911e-15,,,,,,,,,,,,,
ADRC,HABS,imaging_biomarkers,external,ok,,486.0,57.206316795530974,57.93211782367994,-45.32201666245008,0.6371817731455107,-0.1093360971361429,-0.1174239920757481,65.11005563407731,$WORK/ines/results/BrainAgePredictionADRC_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_biomarkers/brainage_adrc_imaging_biomarkers_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/HABS/graphs/imaging_biomarkers/graph_data_list_habs_all.pt,-0.7039989555708303,39.5591413315542,True,56.13793103448276,11.329924180076327,3.0,3.0,13.0,13.0,1.0,1.0
ADRC,AD_DECODE,imaging_biomarkers,external,incompatible_dimensions,Input dimensions do not match,,,,,,,,,$WORK/ines/results/BrainAgePredictionADRC_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_biomarkers/brainage_adrc_imaging_biomarkers_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/AD_DECODE/graphs/imaging_biomarkers/graph_data_list_ad_decode_all.pt,,,,,,3.0,3.0,13.0,16.0,1.0,1.0
HABS,ADNI,imaging_biomarkers,external,ok,,316.0,5.545477790779461,6.820717681602076,-0.1152562891247324,0.6748679892829444,-0.0816226795090139,-0.0821895678487238,4.226479712821233,$WORK/ines/results/BrainAgePredictionHABS_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_biomarkers/brainage_habs_imaging_biomarkers_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADNI/graphs/imaging_biomarkers/graph_data_list_adni_all.pt,-0.5714072382309653,38.27784865236919,True,67.085609135894,8.111934009922717,3.0,3.0,13.0,13.0,1.0,1.0
HABS,ADRC,imaging_biomarkers,external,ok,,204.0,5.825610314593384,7.426368324867529,0.6050496751564971,0.8650817046954562,-0.2228153731520492,-0.1170249024033153,10.860490659503412,$WORK/ines/results/BrainAgePredictionHABS_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_biomarkers/brainage_habs_imaging_biomarkers_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADRC/graphs/imaging_biomarkers/graph_data_list_adrc_all.pt,-0.5714072382309653,38.27784865236919,True,67.085609135894,8.111934009922717,3.0,3.0,13.0,13.0,1.0,1.0
HABS,HABS,imaging_biomarkers,diagonal_oof,ok,,394.0,3.1961412124505246,4.289050147311185,0.720441031268999,0.8840357893801771,2.1770779623508932e-16,1.2014091702633798e-16,1.8630711188709807e-14,,,,,,,,,,,,,
HABS,AD_DECODE,imaging_biomarkers,external,incompatible_dimensions,Input dimensions do not match,,,,,,,,,$WORK/ines/results/BrainAgePredictionHABS_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_biomarkers/brainage_habs_imaging_biomarkers_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/AD_DECODE/graphs/imaging_biomarkers/graph_data_list_ad_decode_all.pt,,,,,,3.0,3.0,13.0,16.0,1.0,1.0
AD_DECODE,ADNI,imaging_biomarkers,external,incompatible_dimensions,Input dimensions do not match,,,,,,,,,$WORK/ines/results/BrainAgePredictionADDECODE_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_biomarkers/brainage_addecode_imaging_biomarkers_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADNI/graphs/imaging_biomarkers/graph_data_list_adni_all.pt,,,,,,3.0,3.0,16.0,13.0,1.0,1.0
AD_DECODE,ADRC,imaging_biomarkers,external,incompatible_dimensions,Input dimensions do not match,,,,,,,,,$WORK/ines/results/BrainAgePredictionADDECODE_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_biomarkers/brainage_addecode_imaging_biomarkers_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADRC/graphs/imaging_biomarkers/graph_data_list_adrc_all.pt,,,,,,3.0,3.0,16.0,13.0,1.0,1.0
AD_DECODE,HABS,imaging_biomarkers,external,incompatible_dimensions,Input dimensions do not match,,,,,,,,,$WORK/ines/results/BrainAgePredictionADDECODE_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_biomarkers/brainage_addecode_imaging_biomarkers_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/HABS/graphs/imaging_biomarkers/graph_data_list_habs_all.pt,,,,,,3.0,3.0,16.0,13.0,1.0,1.0
AD_DECODE,AD_DECODE,imaging_biomarkers,diagonal_oof,ok,,79.0,5.924954057809851,7.83478193734207,0.7317482479241733,0.8879678962835812,-6.106226635438361e-16,-3.297720270057154e-16,-1.2160504364383564e-14,,,,,,,,,,,,,
ADNI,ADNI,full,diagonal_oof,ok,,233.0,1.3093435595461838,1.735633093549605,0.926790890446488,0.9652900393647832,-1.412064909445121e-15,-3.7375180226101255e-16,1.758727389452743e-14,,,,,,,,,,,,,
ADNI,ADRC,full,external,ok,,204.0,4.396468473338192,6.157697993925218,0.7284647133535593,0.9173396938881796,0.1813689890477856,0.0870009351511416,-2.6368780429845744,$WORK/ines/results/BrainAgePredictionADNI_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_full/brainage_adni_full_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADRC/graphs/full/graph_data_list_adrc_all.pt,-0.8974935379966436,67.84154918186981,True,76.1030042918455,6.414685370236268,3.0,3.0,17.0,17.0,1.0,1.0
ADNI,HABS,full,external,ok,,486.0,3.4568989429442523,4.379068023925095,0.7353255428999503,0.903644552920345,0.1241111470651661,0.0630166265580954,-4.947174739619902,$WORK/ines/results/BrainAgePredictionADNI_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_full/brainage_adni_full_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/HABS/graphs/full/graph_data_list_habs_all.pt,-0.8974935379966436,67.84154918186981,True,76.1030042918455,6.414685370236268,3.0,3.0,17.0,17.0,1.0,1.0
ADNI,AD_DECODE,full,external,incompatible_dimensions,Input dimensions do not match,,,,,,,,,$WORK/ines/results/BrainAgePredictionADNI_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_full/brainage_adni_full_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/AD_DECODE/graphs/full/graph_data_list_ad_decode_all.pt,,,,,,3.0,3.0,17.0,20.0,1.0,1.0
ADRC,ADNI,full,external,ok,,316.0,9.18734863978874,12.371113868672747,-2.6688684651767067,0.5935055332145089,0.0896979938492863,0.1391185941145139,-17.89329218982263,$WORK/ines/results/BrainAgePredictionADRC_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_full/brainage_adrc_full_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADNI/graphs/full/graph_data_list_adni_all.pt,-0.7116082399918288,40.06828904914164,True,56.13793103448276,11.329924180076327,3.0,3.0,17.0,17.0,1.0,1.0
ADRC,ADRC,full,diagonal_oof,ok,,145.0,3.775196196159901,5.029379764548281,0.8029507185873206,0.9139953470923028,-8.057790545912269e-16,-3.631306161809107e-16,2.0973436837355187e-14,,,,,,,,,,,,,
ADRC,HABS,full,external,ok,,486.0,9.590935123446142,12.433205811460002,-1.1336092886001858,0.7423747533819413,0.1881903535036047,0.2090867465292315,-22.145007548566568,$WORK/ines/results/BrainAgePredictionADRC_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_full/brainage_adrc_full_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/HABS/graphs/full/graph_data_list_habs_all.pt,-0.7116082399918288,40.06828904914164,True,56.13793103448276,11.329924180076327,3.0,3.0,17.0,17.0,1.0,1.0
