feature_set,group,metric,n_cells,min,median,mean,max,best_cell_min,worst_cell_max
imaging_biomarkers,external_transfer,R2_raw,6,-37.9709656343669,-1.5150325278843733,-12.67615604345468,-0.2393889334223344,ADRC→ADNI,ADNI→HABS
imaging_biomarkers,external_transfer,r_raw,6,-0.0526840114253876,0.2357533306419733,0.23832095117696847,0.5198393003631088,ADRC→ADNI,HABS→ADRC
imaging_biomarkers,external_transfer,mean_abs_cBAG,6,3.7741782889157465,5.6855440526864225,21.550077326510905,57.206316795530974,ADNI→ADRC,ADRC→HABS
imaging_biomarkers,external_transfer,cBAG_age_slope,6,-0.3643123597701294,-0.09960723512601954,-0.11564294704586457,0.0028004586805158,ADRC→ADNI,ADNI→ADRC
imaging_demographics,diagonal_oof,MAE_raw,4,4.788415401295522,6.505792218938575,6.909448718164898,9.837795033486918,ADNI→ADNI,AD_DECODE→AD_DECODE
imaging_demographics,diagonal_oof,RMSE_raw,4,6.008120588998831,8.370550366271702,8.858600167594073,12.685179348834058,ADNI→ADNI,AD_DECODE→AD_DECODE
imaging_demographics,diagonal_oof,R2_raw,4,0.1227435670787254,0.2440023026105554,0.23960334396027472,0.3476652035412626,ADNI→ADNI,HABS→HABS
imaging_demographics,diagonal_oof,r_raw,4,0.3621200736547821,0.4934764806329268,0.48650002287416566,0.5969270565760268,ADNI→ADNI,HABS→HABS
imaging_demographics,diagonal_oof,mean_abs_cBAG,4,1.8792009518780304,3.0590939022513544,3.2163012754320333,4.867816345347395,ADNI→ADNI,AD_DECODE→AD_DECODE
imaging_demographics,diagonal_oof,cBAG_age_slope,4,-7.387029052495511e-16,2.3658909903204995e-16,4.4681512966793075e-17,4.442507590526235e-16,ADNI→ADNI,HABS→HABS
imaging_demographics,external_transfer,MAE_raw,12,8.770388403334609,17.777985698128155,22.965262732321417,48.15417699850472,HABS→ADNI,AD_DECODE→ADNI
imaging_demographics,external_transfer,RMSE_raw,12,10.644640957054422,21.267903048931387,25.48470778185121,49.81989257176263,HABS→ADNI,AD_DECODE→ADNI
imaging_demographics,external_transfer,R2_raw,12,-58.500430318803446,-2.536080449883354,-9.386217942281906,-0.7123588272259354,AD_DECODE→ADNI,ADNI→HABS
imaging_demographics,external_transfer,r_raw,12,0.1756612476872002,0.3403651938464626,0.333530361260755,0.5270446052242466,AD_DECODE→HABS,ADNI→AD_DECODE
